Computing ID,GPA,Major,Size Preference,Reading,Writing,Group Work,Time Commitment
wzo6yt,3.4,CS,2,2,2,2,4
jic6zh,3.14,MAE,3,1,3,4,3
xmr5pf,3.46,ECE,4,3,4,4,3
igc9ye,3.81,MSE,4,2,2,3,0
gnn8tk,3.11,ECE,1,4,5,2,4
inz1ky,3.11,CHE,1,5,1,3,2
ydi2st,3.83,CHE,2,3,4,5,4
sac9hz,3.51,ECE,1,2,3,2,3
uoy2pc,3.01,SYS,2,1,2,5,1
vbp0ra,3.42,SYS,5,5,5,1,5
nfd2bk,3.01,CS,2,1,4,3,1
iaa8xv,3.01,CS,1,2,5,4,2
avw3ms,3.3,CS,5,2,5,2,4
aqk7ns,2.43,MAE,1,3,3,3,0
rbn4gg,2.51,CHE,2,4,4,4,4
hco3rt,2.98,CS,3,1,2,1,2
ujq7mc,2.79,CS,4,3,3,2,2
srt0dq,3.33,MAE,1,5,2,5,5
mbi3hb,2.84,CPE,2,4,1,1,2
odp3gk,2.64,CS,5,3,5,4,1
hhp5da,3.79,CS,1,1,1,2,5
qov9rm,3.11,CS,1,2,5,2,4
skb9cd,3.23,CS,4,5,3,1,4
rfm4hw,2.63,CHE,2,1,2,2,0
ldt8py,2.98,MSE,3,4,2,4,2
smm6fo,3.24,CS,5,4,3,1,2
oba2cv,2.74,ECE,2,2,4,5,3
zsl6jj,3.35,CS,5,2,1,1,5
eng9df,2.96,CPE,1,5,1,1,3
ikx2ib,3.08,CS,4,5,2,5,5
spi2ix,2.96,MSE,4,2,2,4,1
jdy0ox,3.94,CPE,3,2,2,3,5
nfm1pc,3.19,CS,4,4,3,3,4
jfr5hl,2.78,CS,1,2,4,5,0
sga4ji,3.53,CHE,3,3,1,4,5
xsi0bi,2.71,MSE,2,1,5,2,5
xuv0qo,3.28,CS,4,2,3,5,5
ulr9ge,2.42,CPE,3,5,1,3,0
xqx8ps,2.67,ECE,1,3,4,4,2
ukn8ys,3.28,CHE,5,5,3,1,0
rli0vv,3.5,CS,5,3,1,4,2
ztd5ut,3.27,CS,1,2,3,4,4
