Computing ID,GPA,Class Year,Major,Size Preference,Reading,Writing,Group Work,Time Commitment
tie9zg,3.4,1,CS,5,5,2,5,0
kjk9kq,3.14,2,MAE,1,1,0,4,0
fgb1ci,3.46,1,ECE,5,3,2,3,3
sia1ra,3.81,3,MSE,2,5,3,5,4
nsu8bz,3.11,4,ECE,3,5,2,2,0
vid6at,3.11,1,CHE,3,1,4,0,5
wez5rq,3.83,3,CHE,5,4,1,4,0
pyd4dx,3.51,1,ECE,0,1,1,3,1
gcn9vk,3.01,2,SYS,0,2,0,2,4
raw3es,3.42,3,SYS,1,2,0,4,4
bmq4qs,3.01,2,CS,0,5,3,1,0
eli9hz,3.01,3,CS,1,5,5,2,4
huk1mt,3.3,1,CS,4,1,3,4,1
iyx4dl,2.43,4,MAE,1,2,4,2,1
jho9el,2.51,3,CHE,0,2,0,0,1
gfr0ac,2.98,1,CS,5,4,0,0,5
nwf0yc,2.79,1,CS,4,3,3,0,3
ndx2ip,3.33,4,MAE,0,4,3,5,0
doz9pd,2.84,1,CPE,1,0,3,1,4
yvl6vc,2.64,1,CS,2,4,1,0,1
ktr6pl,3.79,3,CS,3,1,2,1,0
ksk1vn,3.11,2,CS,0,3,2,0,0
eje8ea,3.23,2,CS,1,1,0,5,3
mew8pv,2.63,3,CHE,4,0,1,2,5
fxs0hz,2.98,3,MSE,0,3,3,4,4
yje0cd,3.24,1,CS,0,5,0,4,5
tpu4ak,2.74,4,ECE,3,2,1,0,4
gfh3ry,3.35,4,CS,1,4,4,4,1
vfy8ag,2.96,1,CPE,2,1,5,0,1
wbu1fd,3.08,2,CS,4,0,1,0,0
oyv5ey,2.96,4,MSE,1,2,0,3,4
bqs3ik,3.94,1,CPE,4,4,2,3,4
ptj5ni,3.19,3,CS,0,2,3,3,5
gjy2pc,2.78,2,CS,3,4,5,1,1
hdp1pv,3.53,3,CHE,3,5,4,3,2
ale1fv,2.71,4,MSE,5,3,5,0,0
rhv0zj,3.28,1,CS,2,2,5,5,4
xxs1ql,2.42,1,CPE,3,2,1,5,3
eqb9de,2.67,2,ECE,0,2,0,2,3
pla0jo,3.28,2,CHE,2,3,0,3,2
jrm0js,3.5,4,CS,1,0,5,5,1
jyk1ra,3.27,3,CS,3,4,3,3,1
cyo1fj,3.15,3,CS,2,5,0,2,1
aug7kh,3.08,2,MAE,0,2,5,5,5
jfb1xa,2.61,1,MAE,5,3,0,0,3
xbg9pm,2.91,1,ECE,4,0,3,1,1
zvn4hb,3.02,2,ECE,4,4,4,3,3
ikx2ib,3.62,1,CS,0,3,5,5,2
euz8pe,3.34,3,CHE,0,5,2,5,0
twc8hn,2.49,2,CPE,4,5,2,2,5
auk7id,3.33,2,CHE,5,4,5,0,4
spm1uq,3.05,1,CHE,2,2,1,4,2
ebl5rk,2.93,4,CS,4,5,4,5,3
pbd2ql,3.44,4,CHE,0,0,1,1,2
dwj6wu,3.61,3,CS,3,3,2,2,4
hwu9mq,3.57,4,ECE,1,0,3,5,5
lic0eg,2.86,1,CS,5,2,5,5,0
jud1rr,3.08,2,CS,5,0,0,2,4
fop1nz,3.33,1,CS,3,0,2,2,5
vuh5gf,3.59,2,CS,3,1,4,3,3
pdd9hg,3.01,3,MAE,0,0,2,5,4
fcg4lw,3.13,2,ECE,4,4,4,4,2
bkf4ey,2.76,2,CPE,2,3,4,1,1
zfh7ui,2.72,2,CS,5,1,5,0,2
pvo3mf,3.53,3,CS,5,3,4,0,3
ijc0da,3.74,1,MAE,3,3,1,4,0
epz0qe,3.17,2,MAE,4,2,3,2,4
xws7dh,3.6,4,CS,5,2,2,2,0
pgp4hl,3.34,2,CS,2,1,3,2,3
geu7qm,2.94,3,ECE,3,5,0,5,4
chp9ri,3.34,2,CS,2,2,2,2,5
ljb3ox,3.82,4,MAE,4,2,3,2,5
moo5th,3.19,4,CS,5,2,3,5,2
trq7se,3.83,1,MAE,1,3,5,5,2
lwt8kr,2.15,2,CS,5,1,5,4,3
wuy3ro,3.53,2,MAE,4,3,0,3,5
nwb1bf,3.23,3,CS,5,4,4,5,4
apc1oi,3.08,3,CPE,5,3,2,1,5
gvc6of,3.24,2,ECE,0,4,5,2,2
wfw1jm,2.4,2,CS,5,0,2,3,3
qpy9sy,3.11,3,CHE,5,0,0,0,5
pka4kj,3.34,1,CPE,2,4,5,4,3
cgu7kj,3.79,3,CS,1,4,5,3,5
bqx2va,2.99,3,ECE,2,3,4,5,0
bkt1yg,2.88,3,CS,2,4,2,2,5
obx8ub,3,4,CS,3,1,2,2,2
hde9sd,3.57,4,CS,0,0,2,2,4
qah3dc,3.33,3,CS,2,0,4,3,2
dbf6qr,2.99,3,MSE,4,5,5,2,2
ugf6ib,3.41,1,SYS,4,4,0,5,2
isf9wj,3.24,1,ECE,5,2,2,3,3
kaz8px,3.59,2,SYS,3,2,3,2,1
qel0md,2.92,3,CS,0,4,4,0,1
noe0iz,3.07,1,SYS,0,1,1,0,0
jjl2ac,3.04,2,CS,5,2,0,1,2
afn3hc,2.61,3,CHE,4,5,3,2,1
nzc2po,3.32,1,ECE,1,4,2,2,0
qaw4uq,3.3,3,CS,3,1,1,3,3
tar0oj,3.2,1,CS,5,1,0,3,2
gus6yv,3.11,4,SYS,3,3,4,2,4
cuk8xa,2.63,1,CS,4,1,1,1,3
kwm6bj,3.03,2,MAE,4,2,5,2,0
rhj3do,3.06,2,SYS,1,2,1,5,3
lhu0ze,2.88,1,ECE,1,4,3,3,4
weu8cp,3.14,3,ECE,0,4,0,2,3
awk5cp,3.36,3,MAE,3,1,3,3,0
qdh0lz,3.95,3,ECE,3,5,3,2,4
xxo8xj,3.27,1,CS,4,0,2,4,4
lut2fe,3.3,3,ECE,0,3,4,3,3
apz4ym,3.17,2,CHE,5,0,1,1,4
rki5ro,2.43,1,SYS,3,1,0,4,3
tzt7rk,3.19,2,CHE,0,1,5,5,2
okx5ac,3.22,1,CS,0,0,4,2,4
php9jo,4,1,MSE,4,3,4,5,3
hia5ar,3.12,4,CS,0,0,0,3,2
qcy2zo,3.32,4,CS,1,4,4,4,4
cle6zn,3.19,2,MSE,1,2,2,5,2
rgo2hk,2.73,1,CS,2,5,4,1,5
tat8pd,3.66,2,CS,4,4,2,3,4
spc9fv,3.5,3,CS,5,2,1,4,5
icd2vt,3.52,3,CS,2,5,1,5,0
srt0dq,2.84,1,CS,1,5,3,4,0
alv6xq,3.76,1,CS,2,5,2,4,3
eej6cf,2.64,3,CPE,4,1,5,5,1
xcn2tr,3.43,1,SYS,4,5,1,0,5
